RTS ID,RTS Status,Load #,Wave #,Routed Date,Ready Date,Date of Pickup,Time of Pickup,Outbound BOL,Order Date,Customer,Ship To Name,Purchase Order No.,Cartons,Start Date,Cancel Date,BOL Cube,Final Cube,Burlington Cube,Pallet,Individual Pieces,Total Pieces,Individual Weight,Total Weight,Invoice No.,Style,Release,Assigned Trucking Co.
,,,,,,,,,2242025,,COOKIES ON FULTON,651272,1,2182025,2282025,10.19,130,,1,24,216,9.0,63.9,G13295,17499LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,651272,1,2182025,2282025,10.19,130,,1,24,216,6.6,63.9,G13295,17556LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,651272,1,2182025,2282025,10.19,130,,1,24,216,6.6,63.9,G13295,17557LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,743656,3,2172025,2282025,4.25,130,,1,72,72,35.1,35.1,G13297,S65003LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,645207,1,2202025,3152025,3.63,130,,1,36,144,8.8,34.4,G13289,D00216LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,645207,1,2202025,3152025,3.63,130,,1,36,144,8.8,34.4,G13289,D00218LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,645207,1,2202025,3152025,3.63,130,,1,36,144,8.8,34.4,G13289,D00219LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,645207,1,2202025,3152025,3.63,130,,1,36,144,7.9,34.4,G13289,D10226LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,645366JH,1,2152025,3152025,0.95,130,,1,24,24,11.0,11.0,G13292,D03566LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,645370JH,1,2152025,3152025,2.93,130,,1,24,48,14.3,31.3,G13293,D00467LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,645370JH,1,2152025,3152025,2.93,130,,1,24,48,17.0,31.3,G13293,D08184LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,651273,1,2202025,3152025,3.91,130,,1,24,132,6.4,38.6,G13296,10078LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,651273,1,2202025,3152025,3.91,130,,1,36,132,10.1,38.6,G13296,17830LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,651273,1,2202025,3152025,3.91,130,,1,36,132,10.1,38.6,G13296,17832LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,651273,1,2202025,3152025,3.91,130,,1,36,132,11.9,38.6,G13296,17876LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,645373JH,1,1252025,3252025,8.13,130,,1,72,204,15.4,52.2,G13294,D05729LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,645373JH,1,1252025,3252025,8.13,130,,1,72,204,15.4,52.2,G13294,D05730LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,645373JH,1,1252025,3252025,8.13,130,,1,60,204,21.4,52.2,G13294,D05813LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,645217,1,1152025,2152025,1.02,130,,1,24,24,11.0,11.0,G13311,D95609LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,629412,2,1202025,2202025,2.85,130,,1,48,48,19.8,19.8,G13309,B89152LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,629403,1,2102025,2282025,3.37,130,,1,48,96,13.9,27.8,G13308,Q35958LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,629403,1,2102025,2282025,3.37,130,,1,48,96,13.9,27.8,G13308,Q35959LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,645219,1,2152025,2282025,3.22,130,,1,24,72,8.8,25.6,G13312,D95513LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,645219,1,2152025,2282025,3.22,130,,1,24,72,8.2,25.6,G13312,D95554LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,645219,1,2152025,2282025,3.22,130,,1,24,72,8.6,25.6,G13312,D95604LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,651272,1,2182025,2282025,9.07,130,,1,24,192,6.2,54.9,G13316,07492LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,651272,1,2182025,2282025,9.07,130,,1,24,192,8.1,54.9,G13316,07499LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,651272,1,2182025,2282025,9.07,130,,1,24,192,5.7,54.9,G13316,07556LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,651272,1,2182025,2282025,9.07,130,,1,24,192,5.7,54.9,G13316,07557LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,651272,1,2182025,2282025,9.07,130,,1,24,192,7.0,54.9,G13316,17492LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,651272,1,2182025,2282025,9.07,130,,1,24,192,9.0,54.9,G13316,17499LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,651272,1,2182025,2282025,9.07,130,,1,24,192,6.6,54.9,G13316,17556LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,651272,1,2182025,2282025,9.07,130,,1,24,192,6.6,54.9,G13316,17557LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,743656,3,2172025,2282025,4.25,130,,1,72,72,35.1,35.1,G13318,S65003LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,645207,1,2202025,3152025,3.63,130,,1,36,144,8.8,34.4,G13310,D00216LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,645207,1,2202025,3152025,3.63,130,,1,36,144,8.8,34.4,G13310,D00218LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,645207,1,2202025,3152025,3.63,130,,1,36,144,8.8,34.4,G13310,D00219LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,645207,1,2202025,3152025,3.63,130,,1,36,144,7.9,34.4,G13310,D10226LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,645366JH,1,2152025,3152025,0.95,130,,1,24,24,11.0,11.0,G13313,D03566LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,645370JH,1,2152025,3152025,2.93,130,,1,24,48,14.3,31.3,G13314,D00467LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,645370JH,1,2152025,3152025,2.93,130,,1,24,48,17.0,31.3,G13314,D08184LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,651273,1,2202025,3152025,3.91,130,,1,24,132,6.4,38.6,G13317,10078LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,651273,1,2202025,3152025,3.91,130,,1,36,132,10.1,38.6,G13317,17830LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,651273,1,2202025,3152025,3.91,130,,1,36,132,10.1,38.6,G13317,17832LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,651273,1,2202025,3152025,3.91,130,,1,36,132,11.9,38.6,G13317,17876LA,,
,,,,,,,,,2242025,,COOKIES ON MELROSE,645373JH,1,1252025,3252025,8.13,130,,1,72,204,15.4,52.2,G13315,D05729LA,,
